tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
32.6,29.0,38.8,,,,,,,
32.6,27.6,41.2,,,,,,,
33.2,27.4,41.7,,,4.7,11.8,,,
34.1,28.8,43.2,,,,,,,
32.7,29.4,41.6,,,,,,,
31.1,,38.5,,,,,,,
32.9,26.4,40.2,,,,,,,
31.7,28.0,37.9,,,78.3,15.3,,,
31.3,,38.0,,,,,,,
31.1,24.9,39.4,,,,,,,
31.0,22.3,40.4,,,,,,,
31.7,23.2,41.0,,,,,,,
31.2,23.6,40.5,,,,,,,
29.9,,38.0,,,,,,,
29.7,24.0,38.5,,,67.1,11.5,,,
30.9,26.4,40.1,,,,,,,
30.8,,39.5,,,,,,,
30.8,23.5,39.2,,,,,,,
31.8,24.4,40.6,,,,,,,
32.0,22.9,40.8,,,,,,,
31.7,26.0,39.3,,,,,,,
31.1,22.7,40.8,,,,,,,
31.6,24.7,39.4,,,,,,,
29.8,26.0,37.6,,,,,,,
29.3,24.2,35.0,,,,,,,
28.8,22.9,34.9,,,,,,,
29.1,24.9,34.1,,,,,,,
28.9,26.8,34.2,,,,,,,
30.3,21.7,38.7,,,,,,,
28.6,15.4,38.7,,,,,,,
29.4,21.9,37.8,,,,,,,
28.5,25.4,37.1,,,,,,,
29.5,21.6,38.5,,,,,,,
29.7,24.0,36.1,,,218.6,11.9,,,
28.8,24.9,36.0,,,230.9,9.5,,,
29.3,23.0,38.8,,,,,,,
28.7,20.9,38.2,,,,,,,
28.1,18.5,36.4,,,,,,,
28.5,23.5,33.6,,,,,,,
28.6,25.0,34.2,,,,,,,
27.6,21.5,35.7,,,,,,,
27.5,21.0,36.4,,,,,,,
28.7,23.0,35.4,,,234.2,9.1,,,
28.8,22.4,35.3,,,,,,,
27.5,23.0,35.3,,,,,,,
27.3,20.1,35.5,,,,,,,
28.7,21.9,38.4,,,,,,,
28.1,20.7,37.2,,,,,,,
27.2,20.0,36.5,,,,,,,
27.4,21.0,37.0,,,,,,,
27.2,20.3,37.3,,,,,,,
26.9,20.4,35.8,,,,,,,
26.8,20.8,35.2,,,,,,,
27.7,20.0,37.3,,,,,,,
28.2,22.7,35.2,,,91.2,12.3,,,
27.6,21.8,35.4,,,,,,,
27.2,21.4,34.4,,,,,,,
23.0,19.0,33.3,,,,,,,
23.8,18.8,29.2,,,,,,,
23.2,17.0,30.2,,,,,,,
24.7,20.0,31.4,,,,,,,
23.8,20.0,28.5,,,,,,,
23.2,18.2,29.3,,,,,,,
22.9,16.4,30.3,,,,,,,
23.8,16.7,31.4,,,,,,,
24.7,17.7,32.2,,,,,,,
24.7,18.6,31.9,,,,,,,
25.4,17.8,31.7,,,,,,,
25.7,20.6,31.5,,,85.4,14.1,,,
24.9,21.0,33.1,,,61.2,15.3,,,
23.7,16.6,31.4,,,,,,,
24.4,16.4,31.0,,,,,,,
25.3,20.5,30.0,,,,,,,
24.9,24.8,27.9,,,281.3,24.2,,,
23.1,20.0,27.6,,,,11.7,,,
22.0,17.8,27.2,,,,,,,
22.4,17.3,27.4,,,,,,,
21.9,18.0,28.2,,,,,,,
20.7,14.0,29.1,,,,,,,
22.2,14.7,29.6,,,,,,,
23.3,17.7,29.4,,,,,,,
22.1,15.2,31.6,,,,,,,
21.0,14.9,31.2,,,,,,,
20.8,14.0,29.1,,,,,,,
20.9,13.4,31.5,,,,,,,
20.6,14.1,28.7,,,,,,,
22.1,15.8,27.0,,,,,,,
22.2,17.5,28.3,,,,,,,
20.9,16.7,27.0,,,,,,,
19.7,13.9,27.1,,,,,,,
21.8,13.3,30.1,,,,,,,
24.2,18.3,32.7,,,,,,,
23.4,21.2,27.5,,,,,,,
21.2,17.0,25.3,,,,,,,
20.1,14.3,25.5,,,206.3,11.5,,,
20.1,13.7,25.0,,,,,,,
17.6,17.0,19.2,7.1,,,,,,
19.0,15.0,22.1,6.9,,282.3,21.3,,,
17.2,,22.6,,,,,,,
17.4,10.7,24.6,,,,,,,
17.1,11.8,24.4,,,,,,,
18.3,11.6,25.7,,,,,,,
18.2,12.8,24.9,,,,,,,
19.3,14.8,25.9,,,,,,,
19.3,14.9,25.8,,,,,,,
19.2,14.3,28.4,,,,,,,
19.3,14.4,28.0,,,,,,,
20.7,14.3,26.3,,,,,,,
19.4,16.0,23.4,,,267.6,20.2,,,
17.8,12.1,24.6,,,,,,,
17.4,12.9,24.0,,,,,,,
17.4,9.7,25.3,,,,,,,
17.7,9.4,24.4,,,,,,,
18.1,12.1,23.8,,,,,,,
17.5,12.9,24.9,,,,9.6,,,
19.1,10.4,28.1,,,,,,,
18.4,11.4,26.4,,,,,,,
18.9,12.7,25.6,,,202.1,9.4,,,
18.9,14.0,23.8,,,,,,,
17.1,10.7,24.6,,,,,,,
17.9,11.8,26.6,,,,,,,
17.8,15.0,21.5,1.8,,,,,,
16.7,13.9,20.7,,,,,,,
16.6,12.6,22.5,,,,,,,
16.8,11.0,23.4,,,,,,,
16.9,11.0,23.9,,,,,,,
16.7,10.7,23.4,,,,,,,
17.0,10.9,24.1,,,,,,,
16.6,12.7,23.4,,,,,,,
15.9,12.9,23.6,,,,,,,
16.5,12.0,23.5,,,,,,,
16.0,10.6,25.0,,,,,,,
18.4,11.8,26.7,,,,,,,
18.2,14.5,23.8,,,281.3,15.5,,,
17.3,11.6,24.6,,,,,,,
17.1,11.3,24.1,,,,,,,
17.3,11.0,25.1,,,,,,,
17.9,14.7,23.8,,,,,,,
16.4,11.9,22.9,,,,,,,
18.2,9.9,24.8,,,,,,,
17.2,16.8,20.0,,,276.7,22.9,,,
13.1,7.1,19.9,,,,,,,
13.5,5.7,8.1,,,,,,,
14.9,6.8,21.0,,,,,,,
15.2,8.4,23.2,,,,,,,
15.9,7.7,23.2,,,,,,,
16.0,10.7,21.8,,,,,,,
15.8,10.0,23.3,,,,5.7,,,
17.4,10.2,24.5,,,,,,,
17.9,12.4,23.0,,,272.5,23.0,,,
16.9,11.7,24.3,,,,,,,
16.7,10.1,24.6,,,,,,,
19.1,10.9,28.7,,,,,,,
23.1,15.0,32.5,,,,,,,
21.7,13.8,28.9,,,,,,,
18.3,18.0,21.6,,,277.2,27.5,,,
17.5,14.4,25.1,,,,,,,
17.8,9.2,26.5,,,,,,,
19.7,12.4,26.5,,,,,,,
18.5,12.6,25.9,,,,,,,
18.6,13.2,26.6,,,,,,,
21.1,13.0,30.6,,,,,,,
21.4,16.3,28.0,,,,,,,
18.6,11.6,27.0,,,,,,,
22.1,12.0,32.8,,,,,,,
20.7,17.8,26.6,,,,,,,
21.3,13.6,29.7,,,,,,,
20.5,17.7,25.5,,,,,,,
19.4,12.8,25.5,,,,,,,
18.6,13.8,24.6,,,,,,,
18.6,12.9,25.3,,,240.4,12.3,,,
18.6,11.6,27.4,,,,,,,
20.8,11.9,31.0,,,,,,,
22.5,12.6,32.2,,,,,,,
22.7,15.9,32.9,,,,,,,
22.3,14.2,32.9,,,,,,,
20.8,13.2,28.7,,,,,,,
21.2,15.9,28.0,,,217.4,12.7,,,
20.3,15.5,27.5,,,224.1,13.5,,,
19.8,13.0,26.5,,,,,,,
23.3,17.1,35.0,,,,,,,
28.0,16.5,37.8,,,,,,,
23.9,20.0,28.7,,,230.5,17.0,,,
21.2,16.0,26.5,,,,,,,
21.6,14.6,28.5,,,,,,,
24.9,15.2,33.3,,,28.0,13.1,,,
26.9,20.7,33.3,,,,,,,
26.8,,33.2,,,,,,,
24.0,,29.0,,,,,,,
21.3,19.5,24.9,,,,,,,
20.9,14.9,27.6,,,,,,,
20.2,,24.4,,,,,,,
20.6,15.5,27.4,,,,,,,
21.4,13.6,28.0,,,,,,,
23.8,20.0,31.6,1.5,,,,,,
23.2,17.0,30.4,,,,,,,
26.5,15.4,35.9,,,,,,,
24.3,21.5,28.5,,,,,,,
22.3,21.0,25.4,,,272.5,25.8,,,
21.2,15.7,27.8,,,238.7,10.9,,,
20.9,15.5,30.3,,,,,,,
22.8,16.6,33.1,,,,,,,
22.4,14.6,30.6,,,,,,,
23.3,16.3,32.7,,,,,,,
25.1,16.6,35.7,,,,,,,
25.1,16.5,35.7,,,,,,,
26.4,16.7,36.4,,,,,,,
25.6,16.1,38.6,,,,,,,
27.6,15.0,40.7,,,,,,,
29.2,18.2,39.0,,,,,,,
28.4,17.4,39.9,,,,,,,
29.5,23.0,39.1,,,,,,,
24.6,,30.3,,,,,,,
24.0,18.8,31.6,,,223.7,15.1,,,
23.3,16.2,32.6,,,,,,,
25.0,17.5,33.6,,,220.2,13.6,,,
23.8,,30.9,,,,,,,
23.7,15.6,32.3,,,,,,,
23.6,17.8,34.2,,,,,,,
26.3,17.6,35.8,,,226.4,12.9,,,
24.8,19.6,30.4,,,233.0,17.5,,,
24.6,18.5,32.4,,,,,,,
23.1,15.7,30.4,,,,,,,
24.8,17.2,32.0,,,,,,,
26.3,17.4,33.3,,,,,,,
27.4,22.8,33.7,,,224.0,11.5,,,
26.1,18.5,33.6,,,221.0,14.3,,,
27.1,18.7,34.1,,,,,,,
29.7,18.6,38.6,,,,,,,
27.4,,,,,,,,,
29.1,21.8,39.7,,,,,,,
30.9,22.3,40.1,,,222.5,13.1,,,
30.8,24.4,37.7,,,223.2,15.9,,,
31.6,23.9,39.4,,,226.2,13.3,,,
32.5,23.0,44.1,,,,,,,
34.6,25.0,45.2,,,,,,,
34.1,29.6,44.6,,,,,,,
34.9,26.4,43.0,,,,,,,
32.8,25.4,40.0,,,,,,,
28.5,,,,,,,,,
29.6,22.5,36.6,,,223.3,12.8,,,
33.2,,43.8,,,,,,,
32.0,23.3,40.5,,,,9.1,,,
33.6,24.0,44.1,,,,15.2,,,
33.9,25.5,44.4,,,,9.8,,,
34.4,25.7,42.7,,,,,,,
33.6,,42.7,,,,,,,
31.6,22.2,41.8,,,,10.7,,,
31.1,21.7,44.5,,,,,,,
32.9,24.0,41.9,,,,9.2,,,
31.9,25.5,36.3,,,,,,,
33.0,27.0,44.2,,,,13.5,,,
32.4,24.8,,,,,,,,
33.2,25.4,43.0,,,226.8,16.4,,,
31.0,,,,,,,,,
30.9,23.5,42.0,,,,,,,
30.3,23.7,38.0,,,,10.7,,,
30.9,23.9,37.5,,,,,,,
31.0,25.9,37.3,,,,,,,
29.3,25.0,35.6,,,230.5,19.6,,,
28.6,19.5,38.7,,,,,,,
32.0,21.8,42.1,,,,9.0,,,
32.9,24.4,42.8,,,,,,,
33.2,23.8,43.6,,,,9.5,,,
34.3,25.6,43.0,,,,9.9,,,
31.8,25.3,39.6,,,,,,,
30.8,27.0,39.8,,,,10.0,,,
32.7,24.5,43.8,,,,,,,
33.4,26.6,46.3,,,,,,,
32.9,23.2,41.7,,,,,,,
31.4,24.3,39.9,,,,8.8,,997.2,
31.9,26.0,43.4,,,,11.0,,996.9,
33.0,25.5,45.4,,,,,,,
31.9,24.3,39.6,,,,12.1,,996.7,
31.4,25.6,39.5,,,,,,,
